,City,Country,Latitude,Longitude,Clouduness (Percent),Wind Speed,Humidity,Temperature fahrenhiet,Converted Date
0,Rikitea,PF,-23.12,-134.97,58,1.92,69,75.61400000000003,2020-05-10
1,Jalor,IN,25.35,72.62,0,3.46,52,85.85600000000002,2020-05-10
2,Mataura,NZ,-46.19,168.86,60,0.91,65,61.30400000000006,2020-05-10
3,Bredasdorp,ZA,-34.53,20.04,0,2.1,93,53.6,2020-05-10
4,Tasiilaq,GL,65.61,-37.64,18,7.2,87,32.0,2020-05-10
5,Portobelo,PA,9.55,-79.65,74,2.97,89,79.62800000000007,2020-05-10
6,Khovd,MN,48.01,91.64,0,1.89,34,52.7,2020-05-10
7,Saint-Philippe,RE,-21.36,55.77,75,4.1,82,64.4,2020-05-10
8,Salalah,OM,17.02,54.09,75,1.0,83,82.4,2020-05-10
9,Kuril'sk,RU,45.23,147.88,99,2.19,61,49.208000000000006,2020-05-10
10,Ostrovnoy,RU,68.05,39.51,100,3.07,96,34.17800000000007,2020-05-10
11,Marzuq,YE,14.4,46.47,70,1.26,25,74.82200000000003,2020-05-10
12,Ushuaia,AR,-54.8,-68.3,15,0.28,81,42.8,2020-05-10
13,Banjar,ID,-8.19,114.97,40,5.7,89,84.2,2020-05-10
14,Hithadhoo,MV,-0.6,73.08,98,4.78,75,84.88399999999999,2020-05-10
15,East London,ZA,-33.02,27.91,0,1.5,82,55.400000000000006,2020-05-10
16,Kahului,US,20.89,-156.47,75,7.2,61,71.88800000000005,2020-05-10
17,Bluff,NZ,-46.6,168.33,39,2.38,73,59.342,2020-05-10
18,Zhigalovo,RU,54.81,105.16,100,6.37,81,48.00200000000008,2020-05-10
19,Boddam,GB,57.47,-1.78,75,6.7,86,39.36200000000006,2020-05-10
20,Cape Town,ZA,-33.93,18.42,75,1.0,100,55.400000000000006,2020-05-10
21,Saint Paul Harbor,US,57.79,-152.41,90,2.1,75,46.4,2020-05-10
22,Hobart,AU,-42.88,147.33,40,5.7,40,52.483999999999995,2020-05-10
23,Hasaki,JP,35.73,140.83,75,4.6,88,70.934,2020-05-10
24,Nioro,GM,13.35,-15.75,75,3.88,82,69.99800000000002,2020-05-10
25,Sosnovka,RU,56.26,51.28,2,4.5,71,60.98000000000005,2020-05-10
26,Faanui,PF,-16.48,-151.75,26,7.96,82,81.44600000000005,2020-05-10
27,Markova,UA,48.68,24.41,87,1.82,78,47.69600000000005,2020-05-10
28,Nabire,ID,-3.37,135.48,62,1.53,75,86.05400000000006,2020-05-10
29,Te Anau,NZ,-45.42,167.72,97,3.13,63,58.87400000000001,2020-05-10
30,Khatanga,RU,71.97,102.5,86,5.22,98,29.678000000000065,2020-05-10
31,Causapscal,CA,48.35,-67.23,100,4.21,66,39.992,2020-05-10
32,Mount Isa,AU,-20.73,139.5,0,6.7,20,82.4,2020-05-10
33,Norman Wells,CA,65.28,-126.83,5,7.7,45,48.2,2020-05-10
34,Touros,BR,-5.2,-35.46,40,1.5,94,73.4,2020-05-10
35,Tiksi,RU,71.69,128.87,0,2.46,94,26.24000000000002,2020-05-10
36,Tabuk,PH,17.42,121.44,53,2.02,59,89.54600000000005,2020-05-10
37,Avarua,CK,-21.21,-159.78,6,7.2,78,80.6,2020-05-10
38,Takoradze,GH,4.88,-1.76,98,3.44,89,80.07800000000006,2020-05-10
39,Butaritari,KI,3.07,172.79,66,3.15,75,84.11000000000008,2020-05-10
40,Kalengwa,ZM,-13.47,25.0,82,1.83,82,54.391999999999996,2020-05-10
41,Punta Arenas,CL,-53.15,-70.92,90,2.1,93,42.38600000000007,2020-05-10
42,Westport,US,41.14,-73.36,1,4.1,69,35.99600000000005,2020-05-10
