,City,Country,Latitude,Longitude,Temperature (Kelvin),Clouduness (Percent),Wind Speed,Humidity,Max Temperature,Date
0,Rikitea,PF,-23.12,-134.97,297.38,58,1.92,69,297.38,1589080595
1,Jalor,IN,25.35,72.62,303.07,0,3.46,52,303.07,1589081305
2,Mataura,NZ,-46.19,168.86,289.43,60,0.91,65,289.43,1589080706
3,Bredasdorp,ZA,-34.53,20.04,285.15,0,2.1,93,285.15,1589080741
4,Tasiilaq,GL,65.61,-37.64,273.15,18,7.2,87,273.15,1589080768
5,Portobelo,PA,9.55,-79.65,299.61,74,2.97,89,299.61,1589081306
6,Khovd,MN,48.01,91.64,284.65,0,1.89,34,284.65,1589080868
7,Saint-Philippe,RE,-21.36,55.77,291.15,75,4.1,82,293.15,1589080773
8,Salalah,OM,17.02,54.09,301.15,75,1.0,83,301.15,1589080596
9,Kuril'sk,RU,45.23,147.88,282.71,99,2.19,61,282.71,1589081307
10,Ostrovnoy,RU,68.05,39.51,274.36,100,3.07,96,274.36,1589081307
11,Marzuq,YE,14.4,46.47,296.94,70,1.26,25,296.94,1589080754
12,Ushuaia,AR,-54.8,-68.3,279.15,15,0.28,81,279.15,1589080434
13,Banjar,ID,-8.19,114.97,302.15,40,5.7,89,302.15,1589081308
14,Hithadhoo,MV,-0.6,73.08,302.53,98,4.78,75,302.53,1589080751
15,East London,ZA,-33.02,27.91,286.15,0,1.5,82,286.15,1589080816
16,Kahului,US,20.89,-156.47,295.31,75,7.2,61,299.15,1589080845
17,Bluff,NZ,-46.6,168.33,288.34,39,2.38,73,288.34,1589080729
18,Zhigalovo,RU,54.81,105.16,282.04,100,6.37,81,282.04,1589080729
19,Boddam,GB,57.47,-1.78,277.24,75,6.7,86,278.15,1589081309
20,Cape Town,ZA,-33.93,18.42,286.15,75,1.0,100,286.15,1589080728
21,Saint Paul Harbor,US,57.79,-152.41,281.15,90,2.1,75,281.15,1589080798
22,Hobart,AU,-42.88,147.33,284.53,40,5.7,40,285.15,1589080681
23,Hasaki,JP,35.73,140.83,294.78,75,4.6,88,295.37,1589080940
